,Title,published_date,Views,Likes,comments,Published_date,Comments,Month
180,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01T13:00:32Z,5729,155,53,2020-06-01,53,Jun
181,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29T13:00:21Z,76504,2261,272,2020-05-29,272,May
182,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25T13:00:13Z,21011,488,81,2020-05-25,81,May
183,Different Data Science Roles Explained (by a Data Scientist),2020-05-22T13:01:09Z,56586,2003,178,2020-05-22,178,May
184,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18T13:00:22Z,11294,180,53,2020-05-18,53,May
185,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15T13:30:00Z,137391,4559,193,2020-05-15,193,May
186,10000 Subscriber and 100th Video Special (Data Science),2020-05-13T13:00:17Z,3104,147,115,2020-05-13,115,May
187,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11T13:00:33Z,4565,155,74,2020-05-11,74,May
188,How I Would Learn Data Science (If I Had to Start Over),2020-05-08T13:00:03Z,1399228,48933,1989,2020-05-08,1989,May
189,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04T13:00:12Z,5607,197,42,2020-05-04,42,May
190,What You Need to Know for a Data Science Internship,2020-05-01T13:00:10Z,22614,1215,60,2020-05-01,60,May
191,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27T13:00:10Z,8397,347,53,2020-04-27,53,Apr
192,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24T13:00:32Z,15002,454,103,2020-04-24,103,Apr
193,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22T13:00:30Z,3186,85,24,2020-04-22,24,Apr
194,5 Tips for Crushing the Work From Home Life,2020-04-20T13:00:04Z,5452,200,38,2020-04-20,38,Apr
195,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17T13:00:04Z,22358,748,129,2020-04-17,129,Apr
